,net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume,year
156,8716912000008,871691280000000008,I Philipsonstraat,7902HP,7902HP,HOOGEVEEN,16.0,100.0,100.0,63.0,1x25,3044,2015
157,8716912000008,871691280000000008,Tandarts Schipperstraat,7902HR,7902HR,HOOGEVEEN,16.0,100.0,100.0,94.0,1x25,2466,2015
158,8716912000008,871691280000000008,Tandarts Schipperstraat,7902HS,7902HS,HOOGEVEEN,10.0,100.0,100.0,60.0,1x25,3178,2015
159,8716912000008,871691280000000008,Tandarts Schipperstraat,7902HT,7902HT,HOOGEVEEN,18.0,100.0,100.0,61.0,1x25,2904,2015
160,8716912000008,871691280000000008,Reinder Eikelboomstraat,7902HV,7902HV,HOOGEVEEN,20.0,100.0,100.0,55.0,1x25,2025,2015
161,8716912000008,871691280000000008,Gebroeders Poststraat,7902HW,7902HW,HOOGEVEEN,16.0,100.0,100.0,75.0,1x25,2913,2015
162,8716912000008,871691280000000008,Gebroeders Poststraat,7902HX,7902HX,HOOGEVEEN,16.0,100.0,100.0,75.0,1x25,2847,2015
163,8716912000008,871691280000000008,Juliana van Stolbergstr,7902HZ,7902HZ,HOOGEVEEN,15.0,100.0,100.0,93.0,1x25,2608,2015
164,8716912000008,871691280000000008,K de Raadstraat,7902JA,7902JA,HOOGEVEEN,17.0,100.0,100.0,100.0,1x40,2269,2015
165,8716912000008,871691280000000008,K de Raadstraat,7902JB,7902JB,HOOGEVEEN,16.0,93.75,100.0,63.0,1x40,2585,2015
166,8716912000008,871691280000000008,K de Raadstraat,7902JC,7902JC,HOOGEVEEN,11.0,100.0,100.0,73.0,1x25,1926,2015
167,8716912000008,871691280000000008,K de Raadstraat,7902JD,7902JD,HOOGEVEEN,12.0,100.0,91.67,50.0,1x25,6637,2015
168,8716912000008,871691280000000008,K de Raadstraat,7902JE,7902JE,HOOGEVEEN,10.0,90.0,100.0,50.0,1x40,2723,2015
169,8716912000008,871691280000000008,Jan Dekkerstraat,7902JG,7902JG,HOOGEVEEN,19.0,100.0,100.0,63.0,1x25,3485,2015
170,8716912000008,871691280000000008,Jan Dekkerstraat,7902JH,7902JH,HOOGEVEEN,12.0,100.0,100.0,58.0,1x40,3067,2015
171,8716912000008,871691280000000008,Jan Dekkerstraat,7902JJ,7902JJ,HOOGEVEEN,20.0,100.0,100.0,55.0,1x25,2594,2015
172,8716912000008,871691280000000008,Willem de Zwijgerstraat,7902JK,7902JK,HOOGEVEEN,14.0,100.0,100.0,57.0,1x40,2858,2015
173,8716912000008,871691280000000008,P Dubbeldamstraat,7902JL,7902JR,HOOGEVEEN,37.0,100.0,100.0,51.0,1x40,3061,2015
174,8716912000008,871691280000000008,Albert Rozemanstraat,7902JS,7902JS,HOOGEVEEN,16.0,100.0,100.0,50.0,1x25,2633,2015
175,8716912000008,871691280000000008,Albert Rozemanstraat,7902JT,7902JT,HOOGEVEEN,18.0,100.0,100.0,67.0,1x40,2482,2015
176,8716912000008,871691280000000008,Albert Rozemanstraat,7902JV,7902JV,HOOGEVEEN,13.0,100.0,100.0,62.0,1x25,2470,2015
177,8716912000008,871691280000000008,Dr van de Veldestraat,7902KA,7902KA,HOOGEVEEN,12.0,100.0,100.0,92.0,1x35,2811,2015
178,8716912000008,871691280000000008,Dr van de Veldestraat,7902KB,7902KB,HOOGEVEEN,18.0,100.0,100.0,50.0,1x25,2380,2015
179,8716912000008,871691280000000008,Dr van de Veldestraat,7902KC,7902KC,HOOGEVEEN,15.0,100.0,100.0,60.0,1x25,2497,2015
180,8716912000008,871691280000000008,Dr van de Veldestraat,7902KD,7902KD,HOOGEVEEN,19.0,100.0,100.0,63.0,1x25,2409,2015
181,8716912000008,871691280000000008,Dr van de Veldestraat,7902KE,7902KE,HOOGEVEEN,15.0,100.0,100.0,47.0,1x25,2580,2015
182,8716912000008,871691280000000008,Het Haagje,7902LA,7902LA,HOOGEVEEN,60.0,100.0,100.0,57.0,1x40,5298,2015
